Crash Date,Country/Region,Aircraft Manufacturer,Aircraft,Location,Operator,Sum of Fatalities(ground),Sum of Fatalities (air),Sum of Aboard
4/19/1983,Japan,Kawasaki,Kawasaki C 1 / Kawasaki C,Near Toba Japan,Force Self-Defence Air Japan,0,14,14
4/26/1983,Japan,Shin Meiwa,Shin Meiwa PS 15801,Iwakuni AB Japan,Force Defense Self Maritime Japan - Military,0,11,14
4/29/1983,Ecuador,Sud Aviation,Sud Aviation SE 210 Caravelle VIRHC,Guayaquil Ecuador,Ecuador SAN,0,8,100
4/30/1983,Florida,Convair,Convair CV 340141010,Jacksonville Florida,U.S. Navy - Military,0,15,15
5/5/1983,FL,Lockheed,Lockheed L 1011N334EA,En route Miami FL,Bahamas         Nassau - Eastern Air Lines,0,0,172
5/5/1983,Thailand,Fairchild,Fairchild C 123KL4K,Near Ban Ta Khli Thailand,Force Air Thai Royal - Military,0,30,30
5/6/1983,Russia,Antonov,Antonov AN 26?,Klyuchi Russia,Force Air Soviet - Military,0,33,37
6/2/1983,Indonesia,Fokker,Fokker F 28 Fellowship 3000RCPK,Tanjung Karang Indonesia,Garuda Indonesia Airlines,0,3,61
6/2/1983,Covington/Hebron,McDonnell Douglas,McDonnell Douglas DC 9,Cincinnati International Airport Covington/Hebron,Kentucky Air Canada,0,23,46
6/6/1983,Taiwan,Fairchild,Fairchild C 199G?,Off Quemoy Taiwan,Force Air China of Republic - Military,0,47,47
6/8/1983,Alaska,Lockheed,Lockheed L 188C ElectraN1968R,Near Cold Bay Alaska,Airways Aleutian Reeve,0,0,15
6/16/1983,Hawaii,Lockheed,Lockheed P 3B Orion152720,Kauai Hawaii,U.S. Navy - Military,0,14,14
6/21/1983,Mali,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300TZ,Niela Mali,Mali Air,0,7,7
6/28/1983,Nevada,Lockheed,Lockheed C 130H Hercules74,Las Vegas Nevada,U.S. Air Force - Military,0,6,6
7/1/1983,Guinea,Ilyushin,Ilyushin IL 62MB,Labe Guinea,CAAK,0,23,23
7/11/1983,Azuay,Boeing,Boeing B 737,Near Cuenca Azuay,Ecuador TAME,0,119,119
7/16/1983,UKBritish,Sikorsky,Sikorsky S 61N,Off Scilly Islands UKBritish,Helicopters Airways,0,20,26
7/23/1983,Manitoba,Boeing,Boeing B 767,Gimli Manitoba,Canada Air Canada,0,0,69
8/17/1983,Arizona,Piper,Piper PA 31,Grand Canyon Arizona,Las Vegas Airlines ,0,10,10
8/30/1983,Kazakastan,Tupolev,Tupolev TU 134ACCCP,Near Alma-Ata Kazakastan,USSRAeroflot,0,90,90
9/1/1983,Russia,Boeing,Boeing B 747,Near Sakhalin Island Russia,Korean Airlines,0,269,269
9/2/1983,British,Britten,Britten  Norman BN,Near Smithers British,Canada          Columbia Central Mountain Air Services,0,9,9
9/14/1983,China,Hawker Siddeley Trident 2E /,Hawker Siddeley Trident 2E /  II 28B,Guilin China,CAAC,0,11,106
9/23/1983,UAEGulf,Boeing,Boeing B 737,Near Mina Jebel Ali UAEGulf,Air,0,112,112
9/28/1983,Taiwan,Britten,Britten  Norman BN,Off Lanyu Island Taiwan,Taiwan Airlines ,0,10,10
10/7/1983,Brazil,Embraer 110C,Embraer 110C BandeirantePP SBH,Aracatuba Brazil,Regional Aéreas Lineas TAM,0,7,15
10/8/1983,Myanmar,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300XY,Near Lonkin Myanmar,Airways Burma,0,9,14
10/11/1983,Illinois,Hawker Siddeley,Hawker Siddeley HS 748,Pinckneyville Illinois,Illinois Air,0,10,10
10/28/1983,Pennsylvania,Shorts,Shorts 330 200N26288,Middletown Pennsylvania,Pennsylvania Airlines,0,1,30
11/8/1983,Huila,Boeing,Boeing B 737,Lubango Huila,Angola TAAG Angola Airlines,0,130,130
11/23/1983,Canada,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 300C,Landsdowne House Canada,Airways Austin,0,4,7
11/27/1983,Spain,Boeing,Boeing B 747,Madrid-Barajas Spain,Avianca,0,181,192
11/28/1983,Nigeria,Fokker,Fokker F 28 Fellowship 20005N,Near Enugu Nigeria,Airways Nigeria,0,53,72
12/7/1983,Spain,Boeing,Boeing B 727,Near Madrid Spain,Aviaco / Airlines Iberia,0,93,135
12/14/1983,Colombia,Boeing,Boeing 707 373CHK,Near Medellin Colombia,Colombia TAMPA,22,3,3
12/17/1983,NorthWest Virgin Islandsia,de Havilland Canada,de Havilland Canada DHC 6 Twin Otter 200C,Paulatuk NorthWest Virgin Islandsia,Canada          Territory Inuvik Coastal Airways,0,2,12
12/24/1983,Russia,Antonov,Antonov AN 24CCCP,Leshukonskoye Russia,Aeroflot,0,44,49
1/2/1984,Jordan,CASA,CASA 212 A3 Aviocar 100324,Amman Jordan,Force Air Jordanian Royal - Military,0,13,13
1/3/1984,Russia,Mi,Mi  6CCCP,Novoagansk Russia,Aeroflot,0,38,76
1/9/1984,Missouri,Douglas,Douglas DC 3C,Saint Louis Missouri,Skycraft Air transport,0,1,2
1/10/1984,Bulgaria,Tupolev,Tupolev TU 134ALZ,Sofia Bulgaria,Balkan Bulgarian Airlines,0,50,50
1/13/1984,Bolivia,Douglas,Douglas EC 54UCP,Cochabamba Bolivia,Airways Bolivian East North,0,1,3
1/28/1984,Russia,Antonov,Antonov AN 24RVCCCP,Izhevsk Russia,Aeroflot,0,4,51
1/30/1984,Indiana,Swearingen SA.226TC Metro,Swearingen SA.226TC Metro IIN63Z,Terre Haute Indiana,Airways Britt,0,3,3
2/16/1984,Ethiopia,Antonov,Antonov AN 121506,Near Debre Zelt Ethiopia,Force Air Ethiopian - Military,0,26,38
2/19/1984,El,Bell,Bell UH 1H / Bell UH,Near San Gerardo El,Force Air Salvadoran - SalvadorMilitary,0,28,28
2/28/1984,U.S.A.,McDonnell Douglas,McDonnell Douglas DC 10,JFK Airport  new York,Scandinavian Airlines (SAS),0,0,177
3/13/1984,Colombia,Curtiss,Curtiss C 46AHK,Barranquilla Colombia,Colombia Aerosucre,0,4,6
3/16/1984,Bolivia,Fairchild,Fairchild F 27MCP,San Borja Bolivia,Boliviano Aereo Lloyd,0,23,23
3/24/1984,South,Sikorsky,Sikorsky CH 53D157132,Near Hunghae South,Corps Marine U.S. - KoreaMilitary,0,29,29
3/24/1984,Bolivia,Douglas,Douglas C 54CP,Near Rurrenabaque Bolivia,Reyes Frigorifico,0,5,5
